date,Mkt_RF,SMB,HML,RMW,CMA,RF
1963-07-01,-0.0039,-0.0045,-0.0094,0.0066,-0.0115,0.0027
1963-08-01,0.0507,-0.0082,0.0182,0.004,-0.004,0.0025
1963-09-01,-0.0157,-0.0048,0.0017,-0.0076,0.0024,0.0027
1963-10-01,0.0253,-0.013,-0.0004,0.0275,-0.0224,0.0029
1963-11-01,-0.0085,-0.0085,0.017,-0.0045,0.0222,0.0027
1963-12-01,0.0183,-0.019,-0.0006,0.0007,-0.003,0.0029
1964-01-01,0.0224,0.0008,0.0153,0.0022,0.015,0.003
1964-02-01,0.0154,0.0031,0.0286,0.0006,0.0085,0.0026
1964-03-01,0.0141,0.014,0.0337,-0.0201,0.0293,0.0031
1964-04-01,0.001,-0.015,-0.0066,-0.0135,-0.0108,0.0029
1964-05-01,0.0142,-0.007,0.0199,-0.0026,0.0024,0.0026
1964-06-01,0.0127,0.0008,0.0072,-0.0042,0.0014,0.003
1964-07-01,0.0174,0.0052,0.0073,0.0014,0.0184,0.003
1964-08-01,-0.0144,0.0031,0.0007,0.0006,0.0036,0.0028
1964-09-01,0.0269,-0.0032,0.0172,-0.0048,0.0058,0.0028
1964-10-01,0.0059,0.0088,0.0115,-0.0029,0.0048,0.0029
1964-11-01,0,-0.0027,-0.0195,0.006,-0.0016,0.0029
1964-12-01,0.0003,-0.0058,-0.0252,0.0113,-0.0163,0.0031
1965-01-01,0.0354,0.0249,0.0016,0.0084,0.0011,0.0028
1965-02-01,0.0044,0.0332,0.0016,0.004,-0.0069,0.003
1965-03-01,-0.0134,0.0204,0.0105,-0.003,0.0073,0.0036
1965-04-01,0.0311,0.0118,0.0068,0.0026,-0.023,0.0031
1965-05-01,-0.0077,0.0006,-0.0163,-0.0038,0.007,0.0031
1965-06-01,-0.0551,-0.043,0.0056,0.0012,0.0041,0.0035
1965-07-01,0.0143,0.0108,0.0218,-0.0141,-0.0002,0.0031
1965-08-01,0.0273,0.0271,-0.0096,0.0206,-0.0075,0.0033
1965-09-01,0.0286,0.0062,-0.0009,-0.0082,0.0082,0.0031
1965-10-01,0.026,0.0342,0.0154,0.0122,-0.0076,0.0031
1965-11-01,-0.0003,0.0519,0.0021,-0.0106,-0.009,0.0035
1965-12-01,0.0101,0.0264,0.0196,-0.0128,-0.0045,0.0033
1966-01-01,0.0072,0.0471,0.0351,-0.0283,-0.0007,0.0038
1966-02-01,-0.0121,0.0486,0.0027,-0.0015,-0.0144,0.0035
1966-03-01,-0.0251,0.0022,-0.0207,0.013,-0.0001,0.0038
1966-04-01,0.0214,0.0336,-0.0054,0.0041,-0.0091,0.0034
1966-05-01,-0.0566,-0.0518,-0.0157,0.0166,-0.0152,0.0041
1966-06-01,-0.0144,0.0134,0.005,0.0006,0.008,0.0038
1966-07-01,-0.0163,-0.005,0.0099,-0.0045,0.0177,0.0035
1966-08-01,-0.0791,-0.0302,0.0044,0.0005,0.0077,0.0041
1966-09-01,-0.0106,-0.0118,0.0049,-0.0165,0.025,0.004
1966-10-01,0.0386,-0.0652,0.0286,-0.0364,0.0428,0.0045
1966-11-01,0.014,0.0337,-0.0453,0.0417,-0.0653,0.004
1966-12-01,0.0013,0.0194,-0.0128,0.0068,-0.0013,0.004
1967-01-01,0.0815,0.0897,0.0245,0.0062,-0.0297,0.0043
1967-02-01,0.0078,0.0302,-0.0215,0.0194,-0.0094,0.0036
1967-03-01,0.0399,0.0187,0.0046,0.009,-0.0151,0.0039
1967-04-01,0.0389,0.0046,-0.0252,0.0243,-0.0375,0.0032
1967-05-01,-0.0433,0.0236,0.0099,-0.0175,0.0161,0.0033
1967-06-01,0.0241,0.0645,0.0095,-0.0064,-0.0239,0.0027
1967-07-01,0.0458,0.0346,0.028,0.0051,0.0272,0.0031
1967-08-01,-0.0089,0.0076,0.0139,0.0042,0.0141,0.0031
1967-09-01,0.0311,0.0247,-0.0248,0.0022,-0.0095,0.0032
1967-10-01,-0.0309,0.0047,-0.0338,0.0081,-0.0255,0.0039
1967-11-01,0.0037,-0.0006,-0.017,0.0129,-0.0229,0.0036
1967-12-01,0.0305,0.0576,-0.0045,-0.0064,0.0003,0.0033
1968-01-01,-0.0406,0.0447,0.0479,-0.0458,0.0645,0.004
1968-02-01,-0.0375,-0.0292,0.0118,-0.0014,0.0249,0.0039
1968-03-01,0.002,-0.0152,-0.0062,0.0117,-0.0115,0.0038
1968-04-01,0.0905,0.0626,-0.0114,0.0279,-0.0366,0.0043
1968-05-01,0.0228,0.0703,0.0086,0.0039,-0.0182,0.0045
1968-06-01,0.0069,-0.0027,0.0068,-0.0133,0.0268,0.0043
1968-07-01,-0.0272,-0.0133,0.0541,-0.03,0.0361,0.0048
1968-08-01,0.0134,0.0229,0.0101,-0.006,0.004,0.0042
1968-09-01,0.0403,0.0277,0.0033,-0.0203,0.0092,0.0043
1968-10-01,0.0042,-0.0043,0.0285,-0.013,0.0281,0.0044
1968-11-01,0.0543,0.0241,-0.009,0.0046,-0.0252,0.0042
1968-12-01,-0.0394,0.036,0,-0.0178,0.0165,0.0043
1969-01-01,-0.0125,-0.0046,0.0166,-0.0154,0.0141,0.0053
1969-02-01,-0.0584,-0.0413,0.0086,0.0217,0.008,0.0046
1969-03-01,0.0264,-0.0041,-0.0052,-0.0134,-0.0042,0.0046
1969-04-01,0.0146,-0.0082,-0.0003,0.0038,0.0006,0.0053
1969-05-01,-0.001,-0.0018,0.0071,-0.0097,0.0149,0.0048
1969-06-01,-0.0718,-0.0549,-0.011,0.0426,-0.0155,0.0051
1969-07-01,-0.07,-0.0337,0.0122,0.014,0.0197,0.0053
1969-08-01,0.0468,0.007,-0.0383,0.0116,-0.0408,0.005
1969-09-01,-0.0298,0.0129,-0.0327,0.0342,-0.0083,0.0062
1969-10-01,0.0506,0.039,-0.0304,0.0001,-0.0203,0.006
1969-11-01,-0.0379,-0.0241,-0.0115,0.0144,0.0032,0.0052
1969-12-01,-0.0263,-0.0369,-0.03,0.0247,-0.0204,0.0064
1970-01-01,-0.081,0.0309,0.0315,-0.0177,0.0392,0.006
1970-02-01,0.0513,-0.0258,0.0402,-0.0228,0.0306,0.0062
1970-03-01,-0.0106,-0.024,0.0409,-0.0087,0.0443,0.0057
1970-04-01,-0.11,-0.0629,0.0621,-0.0064,0.0588,0.005
1970-05-01,-0.0692,-0.0442,0.0343,-0.013,0.0362,0.0053
1970-06-01,-0.0579,-0.0216,0.006,0.0019,0.029,0.0058
1970-07-01,0.0693,-0.0069,0.0101,-0.0007,0.019,0.0052
1970-08-01,0.0449,0.0155,0.0102,0.0057,-0.0015,0.0053
1970-09-01,0.0418,0.0848,-0.0563,0.0024,-0.0593,0.0054
1970-10-01,-0.0228,-0.045,0.0025,0.0183,0.0238,0.0046
1970-11-01,0.046,-0.04,0.0167,0.0175,0.0159,0.0046
1970-12-01,0.0572,0.0303,0.0086,0.0014,0.0028,0.0042
1971-01-01,0.0484,0.0754,0.0133,-0.0219,-0.0014,0.0038
1971-02-01,0.0141,0.0204,-0.0122,0.0065,-0.0072,0.0033
1971-03-01,0.0413,0.0214,-0.0406,0.0197,-0.0269,0.003
1971-04-01,0.0315,-0.0038,0.0071,-0.0156,0.0072,0.0028
1971-05-01,-0.0398,-0.0118,-0.0148,0.0146,0.003,0.0029
1971-06-01,-0.001,-0.0145,-0.0182,0.0152,-0.0174,0.0037
1971-07-01,-0.045,-0.014,0.0017,0.0048,0.0162,0.004
1971-08-01,0.0379,-0.0018,0.0256,-0.0034,0.026,0.0047
1971-09-01,-0.0085,0.002,-0.0289,0.0259,-0.0156,0.0037
1971-10-01,-0.0442,-0.0165,-0.0037,0.0148,-0.0124,0.0037
1971-11-01,-0.0046,-0.0288,-0.0173,0.0245,-0.0036,0.0037
1971-12-01,0.0871,0.0326,-0.0041,-0.0043,-0.0183,0.0037
1972-01-01,0.0249,0.0631,0.0193,-0.0148,0.0029,0.0029
1972-02-01,0.0287,0.0096,-0.028,0.0165,-0.0052,0.0025
1972-03-01,0.0063,-0.005,-0.0168,0.0158,-0.0019,0.0027
1972-04-01,0.0029,0.0015,0.0024,-0.0059,-0.0089,0.0029
1972-05-01,0.0125,-0.0314,-0.0273,0.0233,-0.0185,0.003
1972-06-01,-0.0243,-0.0035,-0.026,0.0175,-0.0036,0.0029
1972-07-01,-0.008,-0.0274,0.0071,0.0108,-0.0059,0.0031
1972-08-01,0.0326,-0.0353,0.0464,-0.0202,0.0295,0.0029
1972-09-01,-0.0114,-0.0225,0.0051,0.0167,-0.0198,0.0034
1972-10-01,0.0052,-0.0252,0.013,-0.0012,-0.0005,0.004
1972-11-01,0.046,-0.0054,0.0482,-0.0198,0.0335,0.0037
1972-12-01,0.0062,-0.0182,-0.0224,0.026,-0.022,0.0037
1973-01-01,-0.0329,-0.0279,0.0267,0.004,0.0092,0.0044
1973-02-01,-0.0485,-0.0401,0.0171,-0.0034,-0.0001,0.0041
1973-03-01,-0.013,-0.0231,0.0273,-0.0107,0.0073,0.0046
1973-04-01,-0.0568,-0.0299,0.0562,-0.0163,0.0271,0.0052
1973-05-01,-0.0294,-0.0598,0.0025,0.0202,-0.0179,0.0051
1973-06-01,-0.0157,-0.0253,0.0137,-0.0027,0.0022,0.0051
1973-07-01,0.0505,0.0728,-0.0532,-0.001,-0.0346,0.0064
1973-08-01,-0.0382,-0.0179,0.0132,-0.0136,0.012,0.007
1973-09-01,0.0475,0.0358,0.0201,-0.023,0.0182,0.0068
1973-10-01,-0.0083,-0.0032,0.0203,-0.0194,0.0259,0.0065
1973-11-01,-0.1275,-0.0724,0.0391,-0.0271,0.015,0.0056
1973-12-01,0.0061,-0.0459,0.039,-0.028,0.023,0.0064
1974-01-01,-0.0017,0.1038,0.0599,-0.0301,0.0446,0.0063
1974-02-01,-0.0047,0.001,0.0286,-0.0193,0.0267,0.0058
1974-03-01,-0.0281,0.0267,-0.0028,0.0282,0.0036,0.0056
1974-04-01,-0.0529,-0.0063,0.0095,0.0286,0.0184,0.0075
1974-05-01,-0.0468,-0.0317,-0.0208,0.0508,-0.0001,0.0075
1974-06-01,-0.0283,-0.0001,0.0078,0.0062,0.0305,0.006
1974-07-01,-0.0805,0.0199,0.0514,-0.0326,0.0458,0.007
1974-08-01,-0.0935,0.003,0.025,-0.0026,0.0255,0.006
1974-09-01,-0.1177,0.0146,0.0549,-0.0428,0.0591,0.0081
1974-10-01,0.161,-0.0685,-0.0999,-0.0003,-0.0294,0.0051
1974-11-01,-0.0451,-0.0144,-0.0016,-0.0339,0.0295,0.0054
1974-12-01,-0.0345,-0.0436,0,-0.0065,0.0323,0.007
1975-01-01,0.1366,0.1279,0.0844,-0.0089,-0.0086,0.0058
1975-02-01,0.0556,-0.0065,-0.0456,0.0115,-0.0214,0.0043
1975-03-01,0.0266,0.0398,0.0249,0.0123,-0.0125,0.0041
1975-04-01,0.0423,-0.0059,-0.0111,0.0137,-0.0135,0.0044
1975-05-01,0.0519,0.0289,-0.0402,-0.0105,-0.0061,0.0044
1975-06-01,0.0483,0.0132,0.0132,-0.0262,0.0107,0.0041
1975-07-01,-0.0659,0.0342,0.017,0.0043,0.0119,0.0048
1975-08-01,-0.0285,-0.028,-0.0095,0.0103,-0.0089,0.0048
1975-09-01,-0.0426,0.0002,0.0034,0.0053,0.005,0.0053
1975-10-01,0.0531,-0.0424,0.0034,-0.0046,0.0227,0.0056
1975-11-01,0.0264,-0.0107,0.0196,-0.0062,0.0171,0.0041
1975-12-01,-0.016,-0.0003,0.0174,-0.0012,0.006,0.0048
1976-01-01,0.1216,0.0635,0.0865,-0.019,0.0236,0.0047
1976-02-01,0.0032,0.0797,0.0585,-0.0258,0.0384,0.0034
1976-03-01,0.0232,-0.0133,-0.0008,-0.0038,0.0109,0.004
1976-04-01,-0.0149,0.0015,-0.0014,0.0039,-0.011,0.0042
1976-05-01,-0.0134,-0.0112,-0.013,0.0247,-0.0142,0.0037
1976-06-01,0.0405,-0.0113,0.0065,-0.0059,0.0093,0.0043
1976-07-01,-0.0107,0.0062,0.0169,-0.0109,0.0029,0.0047
1976-08-01,-0.0056,-0.0203,0.0081,-0.0046,-0.0059,0.0042
1976-09-01,0.0207,0.0012,-0.0024,0.0099,-0.0114,0.0044
1976-10-01,-0.0242,0.0016,-0.0015,-0.0022,-0.0032,0.0041
1976-11-01,0.0036,0.0266,0.0151,-0.0139,0.0007,0.004
1976-12-01,0.0565,0.036,0.022,-0.0062,0.0223,0.004
1977-01-01,-0.0405,0.0589,0.0425,-0.0053,0.0193,0.0036
1977-02-01,-0.0194,0.0111,0.0052,-0.0013,-0.0019,0.0035
1977-03-01,-0.0137,0.0129,0.0106,-0.0032,-0.0009,0.0038
1977-04-01,0.0015,0.006,0.0344,-0.0205,0.0114,0.0038
1977-05-01,-0.0145,0.0128,0.0084,0.0033,0.0011,0.0037
1977-06-01,0.0471,0.0208,-0.0068,0.0088,-0.0122,0.004
1977-07-01,-0.0169,0.0182,-0.006,0.0083,0.0001,0.0042
1977-08-01,-0.0175,0.0089,-0.0276,0.0096,-0.0062,0.0044
1977-09-01,-0.0027,0.0156,-0.0051,0.0123,-0.0084,0.0043
1977-10-01,-0.0438,0.015,0.0173,-0.003,-0.0046,0.0049
1977-11-01,0.04,0.0362,0.0029,-0.0005,0.0065,0.005
1977-12-01,0.0027,0.0161,-0.0038,0.0094,-0.0065,0.0049
1978-01-01,-0.0601,0.0269,0.0331,-0.0167,0.0153,0.0049
1978-02-01,-0.0138,0.0367,0.0071,0.0036,0.0104,0.0046
1978-03-01,0.0285,0.0372,0.0123,-0.006,0.0188,0.0053
1978-04-01,0.0788,-0.0031,-0.0356,0.0282,-0.0135,0.0054
1978-05-01,0.0176,0.0456,-0.0059,0.0027,0.0036,0.0051
1978-06-01,-0.0169,0.0159,0.0055,-0.0144,-0.0002,0.0054
1978-07-01,0.0511,0.0015,-0.0108,0.0158,-0.0078,0.0056
1978-08-01,0.0375,0.0493,-0.0057,0.0139,0.0042,0.0056
1978-09-01,-0.0143,-0.0029,0.0187,-0.0068,0.018,0.0062
1978-10-01,-0.1191,-0.1005,0.014,0.0017,0.0103,0.0068
1978-11-01,0.0271,0.0284,-0.0219,0.0109,-0.0121,0.007
1978-12-01,0.0088,0.0108,-0.0217,0.0196,-0.0138,0.0078
1979-01-01,0.0423,0.0384,0.0229,-0.025,0.0157,0.0077
1979-02-01,-0.0356,0.0055,0.0116,-0.0114,0.0104,0.0073
1979-03-01,0.0568,0.0316,-0.0069,0.0062,0.0028,0.0081
1979-04-01,-0.0006,0.024,0.01,0.0105,0.0021,0.008
1979-05-01,-0.0221,0.0015,0.013,-0.0139,-0.0035,0.0082
1979-06-01,0.0385,0.0099,0.0145,-0.0161,-0.0045,0.0081
1979-07-01,0.0082,0.0124,0.0175,-0.002,0.0059,0.0077
1979-08-01,0.0553,0.0198,-0.0152,0.0158,-0.0145,0.0077
1979-09-01,-0.0082,-0.0027,-0.0087,0.0102,0.0054,0.0083
1979-10-01,-0.081,-0.0346,-0.0181,0.0104,0.0024,0.0087
1979-11-01,0.0521,0.0244,-0.0338,0.0011,-0.02,0.0099
1979-12-01,0.0179,0.0435,-0.0204,-0.0067,-0.0101,0.0095
1980-01-01,0.0551,0.019,0.0172,-0.0167,0.0201,0.008
1980-02-01,-0.0122,-0.015,0.0066,0.0011,0.0303,0.0089
1980-03-01,-0.129,-0.0697,-0.0102,0.0138,-0.0134,0.0121
1980-04-01,0.0397,0.01,0.0101,-0.0209,0.0054,0.0126
1980-05-01,0.0526,0.021,0.0038,0.0031,-0.0047,0.0081
1980-06-01,0.0306,0.0147,-0.0085,-0.0009,-0.0095,0.0061
1980-07-01,0.0649,0.0393,-0.0629,0.0394,-0.0246,0.0053
1980-08-01,0.018,0.0426,-0.0264,0.021,-0.008,0.0064
1980-09-01,0.0219,0.0058,-0.0477,0.0203,-0.0281,0.0075
1980-10-01,0.0106,0.0233,-0.0277,0.0167,-0.0122,0.0095
1980-11-01,0.0959,-0.0341,-0.0836,0.0453,-0.0574,0.0096
1980-12-01,-0.0452,-0.003,0.0273,-0.0125,0.0118,0.0131
1981-01-01,-0.0504,0.0338,0.0683,-0.0354,0.0435,0.0104
1981-02-01,0.0057,-0.0049,0.01,0.0019,0.0225,0.0107
1981-03-01,0.0356,0.0307,0.0069,-0.0234,-0.0053,0.0121
1981-04-01,-0.0211,0.046,0.0229,0.0082,0.012,0.0108
1981-05-01,0.0011,0.0245,-0.0047,0.0033,-0.016,0.0115
1981-06-01,-0.0236,-0.0096,0.051,-0.0135,0.0268,0.0135
1981-07-01,-0.0154,-0.0197,-0.0068,0.0108,-0.0304,0.0124
1981-08-01,-0.0704,-0.0181,0.0484,-0.0025,0.0146,0.0128
1981-09-01,-0.0717,-0.025,0.052,-0.0002,0.0279,0.0124
1981-10-01,0.0492,0.0224,-0.0422,0.0329,-0.0276,0.0121
1981-11-01,0.0336,-0.0138,0.0189,0.001,0.0063,0.0107
1981-12-01,-0.0365,0.0119,0.0075,0.0019,0.0241,0.0087
1982-01-01,-0.0324,-0.0118,0.0319,-0.0152,0.0208,0.008
1982-02-01,-0.0586,0.0036,0.061,-0.0338,0.0457,0.0092
1982-03-01,-0.0187,0,0.0379,-0.0144,0.0237,0.0098
1982-04-01,0.0327,0.0115,-0.0277,0.0151,-0.0015,0.0113
1982-05-01,-0.0399,0.0056,0.018,0.0091,-0.0009,0.0106
1982-06-01,-0.0309,-0.0051,0.0154,0.0003,0.0272,0.0096
1982-07-01,-0.0319,0.0095,0.0012,0.0103,0.0154,0.0105
1982-08-01,0.1114,-0.0429,0.01,-0.0196,0.0018,0.0076
