date,Mkt_RF,SMB,HML,RMW,CMA,RF
1982-09-01,0.0129,0.0258,0.0033,0.0212,-0.0004,0.0051
1982-10-01,0.113,0.0192,-0.0373,0.003,-0.0037,0.0059
1982-11-01,0.0467,0.0453,-0.0189,-0.0105,0.0032,0.0063
1982-12-01,0.0055,-0.0001,-0.0003,-0.0007,0.0103,0.0067
1983-01-01,0.036,0.0328,-0.0081,-0.015,-0.0046,0.0069
1983-02-01,0.0259,0.0291,0.007,-0.0057,0.0102,0.0062
1983-03-01,0.0282,0.0141,0.0205,-0.0007,0.0281,0.0063
1983-04-01,0.0667,0.0048,0.0056,-0.0016,0.016,0.0071
1983-05-01,0.0052,0.0622,-0.0142,-0.0185,-0.0153,0.0069
1983-06-01,0.0307,0.0115,-0.0393,0.0252,-0.0089,0.0067
1983-07-01,-0.0407,0.0098,0.0561,-0.0003,0.0284,0.0074
1983-08-01,-0.005,-0.0434,0.0556,0.0045,0.0195,0.0076
1983-09-01,0.0091,0.0025,0.0108,0.0121,0.0059,0.0076
1983-10-01,-0.0344,-0.0382,0.0507,-0.0081,0.0297,0.0076
1983-11-01,0.0216,0.0188,-0.0064,-0.0048,0.0064,0.007
1983-12-01,-0.0178,-0.0047,0.0168,0.0159,0.0121,0.0073
1984-01-01,-0.0192,-0.0007,0.0762,-0.0093,0.03,0.0076
1984-02-01,-0.0482,-0.0162,0.0336,0.0082,0.0157,0.0071
1984-03-01,0.0063,-0.0028,0.0051,-0.0093,0.0109,0.0073
1984-04-01,-0.0051,-0.0102,0.0127,0.0327,0.0076,0.0081
1984-05-01,-0.0597,0.0008,0.0026,0.0232,-0.005,0.0078
1984-06-01,0.0182,0.0007,-0.0262,0.0308,-0.0151,0.0075
1984-07-01,-0.0274,-0.0222,0.0048,0.0369,-0.0217,0.0082
1984-08-01,0.1028,-0.003,-0.0182,-0.0089,-0.0081,0.0083
1984-09-01,-0.008,0,0.0532,0.014,0.0253,0.0086
1984-10-01,-0.0084,-0.0143,0.0051,0.0117,-0.0116,0.01
1984-11-01,-0.0176,-0.0098,0.0408,0.0081,0.0208,0.0073
1984-12-01,0.0184,-0.0069,-0.002,0.0121,-0.0126,0.0064
1985-01-01,0.0799,0.035,-0.0541,-0.0083,-0.0336,0.0065
1985-02-01,0.0122,0.01,-0.0013,0.0126,0.0103,0.0058
1985-03-01,-0.0084,-0.0148,0.041,0.0118,0.0294,0.0062
1985-04-01,-0.0096,-0.001,0.0372,0.0159,0.0071,0.0072
1985-05-01,0.0509,-0.0233,-0.0092,0.013,-0.0139,0.0066
1985-06-01,0.0127,0.0035,0.005,0.0169,-0.0059,0.0055
1985-07-01,-0.0074,0.0289,-0.0168,-0.0045,-0.0031,0.0062
1985-08-01,-0.0102,-0.0032,0.0232,-0.0004,0.0188,0.0055
1985-09-01,-0.0454,-0.0181,0.0131,0.0116,0.0161,0.006
1985-10-01,0.0402,-0.0155,0.0078,0.0092,-0.0111,0.0065
1985-11-01,0.0648,0,-0.0288,0.0029,-0.0233,0.0061
1985-12-01,0.0388,-0.0039,-0.0152,0.0097,-0.018,0.0065
1986-01-01,0.0065,0.0101,0.0052,-0.0202,-0.0205,0.0056
1986-02-01,0.0713,-0.0075,-0.0085,0.0115,-0.0139,0.0053
1986-03-01,0.0488,-0.0057,-0.0044,0.0112,0.0099,0.006
1986-04-01,-0.0131,0.0292,-0.0286,0.0291,0.0002,0.0052
1986-05-01,0.0462,-0.0126,-0.0014,0.0208,0.0111,0.0049
1986-06-01,0.0103,-0.0088,0.0136,0.0183,0.0087,0.0052
1986-07-01,-0.0645,-0.0354,0.0476,-0.0057,0.0061,0.0052
1986-08-01,0.0607,-0.0437,0.035,-0.0174,0.0324,0.0046
1986-09-01,-0.086,0.0196,0.0316,-0.0005,0.0362,0.0045
1986-10-01,0.0466,-0.0233,-0.0137,0.0013,0.0089,0.0046
1986-11-01,0.0117,-0.0188,-0.0013,0.0112,0.0061,0.0039
1986-12-01,-0.0327,0.0007,0.0027,0.0083,-0.0003,0.0049
1987-01-01,0.1247,-0.0152,-0.0326,0.002,-0.0109,0.0042
1987-02-01,0.0439,0.0341,-0.0597,-0.009,-0.0276,0.0043
1987-03-01,0.0164,0.0022,0.0162,0.0136,0.0403,0.0047
1987-04-01,-0.0211,-0.0155,-0.0034,-0.0046,0.0122,0.0044
1987-05-01,0.0011,-0.006,0.0022,0.0052,0.0132,0.0038
1987-06-01,0.0394,-0.0229,0.0101,0.0173,0.0083,0.0048
1987-07-01,0.0385,-0.0111,0.0067,-0.005,0.0156,0.0046
1987-08-01,0.0352,-0.009,-0.0092,0.0203,-0.0159,0.0047
1987-09-01,-0.0259,0.0037,0.0027,-0.009,0.0189,0.0045
1987-10-01,-0.2324,-0.0808,0.042,0.0201,0.0239,0.006
1987-11-01,-0.0777,0.0283,0.0313,-0.0192,0.0071,0.0035
1987-12-01,0.0681,0.0009,-0.0445,0.0301,-0.0236,0.0039
1988-01-01,0.0421,-0.0054,0.0499,-0.0112,0.0209,0.0029
1988-02-01,0.0475,0.0332,-0.0162,0.0156,-0.0011,0.0046
1988-03-01,-0.0227,0.0625,0.0072,-0.0016,0.0191,0.0044
1988-04-01,0.0056,0.0112,0.017,-0.0023,0.019,0.0046
1988-05-01,-0.0029,-0.0259,0.0233,-0.007,0.0038,0.0051
1988-06-01,0.0479,0.0219,-0.0109,0.0142,-0.0325,0.0049
1988-07-01,-0.0125,-0.0017,0.022,-0.0059,0.0144,0.0051
1988-08-01,-0.0331,-0.0001,0.0212,-0.0074,0.0173,0.0059
1988-09-01,0.033,-0.0131,-0.0068,0.0173,-0.0049,0.0062
1988-10-01,0.0115,-0.0295,0.017,0.014,0.0105,0.0061
1988-11-01,-0.0229,-0.0166,0.013,-0.0028,0.016,0.0057
1988-12-01,0.0149,0.0201,-0.0154,0.0063,-0.0037,0.0063
1989-01-01,0.061,-0.0223,0.0049,-0.0103,0.0016,0.0055
1989-02-01,-0.0225,0.0267,0.009,-0.0081,0.019,0.0061
1989-03-01,0.0157,0.0077,0.0047,0,0.0079,0.0067
1989-04-01,0.0433,-0.0069,-0.0142,0.0075,-0.0054,0.0067
1989-05-01,0.0335,-0.0001,-0.009,0.005,-0.0003,0.0079
1989-06-01,-0.0135,-0.0107,0.0227,0.0022,0.0152,0.0071
1989-07-01,0.072,-0.0405,-0.0279,0.0197,-0.0061,0.007
1989-08-01,0.0144,0.0043,0.0063,0.0034,-0.005,0.0074
1989-09-01,-0.0076,0.0044,-0.0125,0.0136,0.0059,0.0065
1989-10-01,-0.0367,-0.0332,-0.0107,0.0001,0.0001,0.0068
1989-11-01,0.0103,-0.0133,-0.0107,-0.0097,0.0147,0.0069
1989-12-01,0.0116,-0.023,0.0021,-0.0006,0.0144,0.0061
1990-01-01,-0.0785,-0.0132,0.0078,-0.0113,0.0132,0.0057
1990-02-01,0.0111,0.0119,0.0065,-0.002,-0.0064,0.0057
1990-03-01,0.0183,0.0166,-0.0303,0.0218,-0.0103,0.0064
1990-04-01,-0.0336,-0.0039,-0.0247,0.0172,-0.0097,0.0069
1990-05-01,0.0842,-0.0239,-0.0389,0.0163,-0.0157,0.0068
1990-06-01,-0.0109,0.0137,-0.0199,-0.0105,-0.0034,0.0063
1990-07-01,-0.019,-0.0326,-0.0011,-0.0026,0.031,0.0068
1990-08-01,-0.1015,-0.0385,0.0163,-0.0043,0.0299,0.0066
1990-09-01,-0.0612,-0.0378,0.0071,-0.0015,0.0371,0.006
1990-10-01,-0.0192,-0.051,0.0019,0.0283,-0.0049,0.0068
1990-11-01,0.0635,-0.0004,-0.0321,0.0083,-0.0475,0.0057
1990-12-01,0.0246,0.0059,-0.0172,0.0284,-0.02,0.006
1991-01-01,0.0469,0.0386,-0.0174,0.0156,-0.0408,0.0052
1991-02-01,0.0719,0.0397,-0.0055,-0.0025,-0.0016,0.0048
1991-03-01,0.0265,0.0385,-0.0132,-0.0037,-0.0099,0.0044
1991-04-01,-0.0028,0.0032,0.0148,0.0052,0.0071,0.0053
1991-05-01,0.0365,0.0016,-0.0057,0.021,-0.0245,0.0047
1991-06-01,-0.0494,0.0018,0.0123,0.0175,0.0063,0.0042
1991-07-01,0.0424,-0.0096,-0.0125,0.016,-0.0141,0.0049
1991-08-01,0.0232,0.0144,-0.0083,0.0087,-0.0055,0.0046
1991-09-01,-0.0159,0.0156,-0.0098,-0.0181,0.0016,0.0046
1991-10-01,0.0129,0.0094,-0.0047,-0.0173,-0.0029,0.0042
1991-11-01,-0.0419,-0.0087,-0.0185,0.0106,0.0012,0.0039
1991-12-01,0.1084,-0.0242,-0.0411,0.0357,-0.0312,0.0038
1992-01-01,-0.0059,0.0926,0.0461,-0.0133,0.0315,0.0034
1992-02-01,0.0109,0.0135,0.0637,0.0011,0.0204,0.0028
1992-03-01,-0.0266,-0.009,0.0361,-0.001,0.0193,0.0034
1992-04-01,0.0107,-0.0573,0.0427,0.0169,0.0222,0.0032
1992-05-01,0.003,0.0022,0.0125,-0.0098,0.0043,0.0028
1992-06-01,-0.0234,-0.0271,0.0336,-0.0005,0.0107,0.0032
1992-07-01,0.0377,-0.0061,-0.0037,0.014,-0.0072,0.0031
1992-08-01,-0.0238,-0.0043,-0.0106,0.0373,-0.0162,0.0026
1992-09-01,0.0119,0.005,-0.0028,0.0163,-0.005,0.0026
1992-10-01,0.0102,0.0203,-0.0201,0.013,-0.008,0.0023
1992-11-01,0.0413,0.0393,-0.014,-0.0077,-0.0191,0.0023
1992-12-01,0.0153,0.0164,0.0263,-0.0041,0.0075,0.0028
1993-01-01,0.0093,0.0207,0.0592,-0.0173,0.0278,0.0023
1993-02-01,0.0012,-0.0347,0.0641,-0.0059,0.0405,0.0022
1993-03-01,0.023,0.0006,0.0131,-0.0014,0.0092,0.0025
1993-04-01,-0.0305,-0.0086,0.0252,-0.0358,0.0152,0.0024
1993-05-01,0.0289,0.019,-0.0345,0,-0.0118,0.0022
1993-06-01,0.0031,0.0011,0.0272,-0.0097,0.0109,0.0025
1993-07-01,-0.0034,0.0089,0.0282,-0.0184,0.0203,0.0024
1993-08-01,0.0371,0.0013,0.0013,-0.0159,-0.0004,0.0025
1993-09-01,-0.0012,0.0298,-0.0025,0.0026,-0.0008,0.0026
1993-10-01,0.0141,0.019,-0.0272,0.0055,0.0059,0.0022
1993-11-01,-0.0189,-0.0126,-0.0077,0.0225,-0.0096,0.0025
1993-12-01,0.0165,0.0139,0.0036,0.0113,-0.0032,0.0023
1994-01-01,0.0287,-0.0001,0.0113,-0.0159,0.0145,0.0025
1994-02-01,-0.0255,0.0266,-0.0159,0.022,-0.0103,0.0021
1994-03-01,-0.0478,-0.0111,0.0163,0.0055,0.0127,0.0027
1994-04-01,0.0068,-0.0106,0.0166,0.0111,0.0112,0.0027
1994-05-01,0.0058,-0.0252,0.0066,0.0066,0.007,0.0031
1994-06-01,-0.0303,-0.0052,0.0172,0.0115,0.0153,0.0031
1994-07-01,0.0282,-0.0184,0.0056,-0.0063,0.0011,0.0028
1994-08-01,0.0401,0.0134,-0.0247,0.009,-0.0145,0.0037
1994-09-01,-0.0231,0.0278,-0.0187,0.0051,0.0093,0.0037
1994-10-01,0.0134,-0.023,-0.0166,0.0022,-0.0062,0.0038
1994-11-01,-0.0404,0.0009,-0.0069,0.0045,-0.0044,0.0037
1994-12-01,0.0086,0.0007,-0.002,0.005,0.0031,0.0044
1995-01-01,0.018,-0.0311,0.0254,0.0009,-0.0083,0.0042
1995-02-01,0.0363,-0.0052,0.0112,0.0061,-0.0033,0.004
1995-03-01,0.0219,-0.0051,-0.0215,-0.0009,0.0016,0.0046
1995-04-01,0.0211,-0.0029,0.0171,0.0024,0.01,0.0044
1995-05-01,0.029,-0.022,0.0223,0.0037,0.0009,0.0054
1995-06-01,0.0272,0.0303,-0.025,-0.0033,-0.0244,0.0047
1995-07-01,0.0372,0.0207,-0.0163,0.0028,-0.0171,0.0045
1995-08-01,0.0055,0.0178,0.0284,-0.0117,0.0164,0.0047
1995-09-01,0.0335,-0.0197,0.0002,0.0106,0.0036,0.0043
1995-10-01,-0.0152,-0.0409,-0.0046,0.0184,-0.0003,0.0047
1995-11-01,0.0396,-0.0114,0.0061,-0.0054,0.0119,0.0042
1995-12-01,0.0103,0.0069,0.0033,-0.0135,0.0299,0.0049
1996-01-01,0.0226,-0.0249,0.0022,0.0013,0.0227,0.0043
1996-02-01,0.0133,0.0176,-0.0116,0.0024,-0.018,0.0039
1996-03-01,0.0073,0.0163,0.0031,0.0146,-0.0097,0.0039
1996-04-01,0.0206,0.047,-0.0408,-0.0014,-0.022,0.0046
1996-05-01,0.0236,0.0313,-0.008,0.0015,-0.0022,0.0042
1996-06-01,-0.0114,-0.0357,0.0226,0.0334,0.0109,0.004
1996-07-01,-0.0597,-0.0382,0.0516,0.0295,0.0259,0.0045
1996-08-01,0.0277,0.0258,-0.0078,-0.0041,-0.0242,0.0041
1996-09-01,0.0501,-0.0137,-0.0276,0.0124,-0.0218,0.0044
1996-10-01,0.0086,-0.0384,0.0492,0.0152,0.0297,0.0042
1996-11-01,0.0625,-0.0382,0.0146,0.0205,-0.0073,0.0041
1996-12-01,-0.017,0.0316,0.0133,0.0041,0.0152,0.0046
1997-01-01,0.0498,-0.0185,-0.0143,0.0123,-0.0028,0.0045
1997-02-01,-0.0049,-0.0266,0.057,0.0067,0.0341,0.0039
1997-03-01,-0.0502,-0.005,0.0343,0.0046,0.0166,0.0043
1997-04-01,0.0404,-0.0572,0.0009,0.0336,-0.009,0.0043
1997-05-01,0.0674,0.0474,-0.0408,-0.0103,-0.0291,0.0049
1997-06-01,0.041,0.0117,0.0162,0.0061,0.0055,0.0037
1997-07-01,0.0733,-0.0276,0.002,0.0009,-0.0256,0.0043
1997-08-01,-0.0415,0.0765,0.0112,-0.0101,-0.0002,0.0041
1997-09-01,0.0535,0.025,0.0029,-0.0159,-0.0093,0.0044
1997-10-01,-0.038,-0.0054,0.0233,0.0107,0.0187,0.0042
1997-11-01,0.0298,-0.0509,0.0124,0.0283,0.0166,0.0039
1997-12-01,0.0132,-0.0214,0.0403,0.0076,0.0192,0.0048
1998-01-01,0.0015,-0.013,-0.0165,0.0087,-0.0085,0.0043
1998-02-01,0.0704,0.0014,-0.0078,-0.0031,-0.0241,0.0039
1998-03-01,0.0476,-0.0067,0.0154,-0.003,-0.0047,0.0039
1998-04-01,0.0073,-0.0005,0.0089,-0.0163,-0.0023,0.0043
1998-05-01,-0.0307,-0.0295,0.0343,0.0105,0.0254,0.004
1998-06-01,0.0318,-0.0372,-0.018,-0.0029,-0.0293,0.0041
1998-07-01,-0.0246,-0.0525,-0.0171,0.0183,0.0045,0.004
1998-08-01,-0.1608,-0.0517,0.0356,0.0345,0.0584,0.0043
1998-09-01,0.0615,-0.008,-0.0342,-0.0169,-0.0291,0.0046
1998-10-01,0.0713,-0.0343,-0.0221,0.0077,0.0029,0.0032
1998-11-01,0.061,0.0071,-0.0316,-0.0108,-0.0115,0.0031
1998-12-01,0.0616,-0.0157,-0.042,-0.0066,-0.0333,0.0038
1999-01-01,0.035,-0.0062,-0.0466,-0.0266,-0.0686,0.0035
1999-02-01,-0.0408,-0.0522,0.0191,-0.0124,0.0409,0.0035
1999-03-01,0.0345,-0.0418,-0.0277,-0.039,-0.014,0.0043
1999-04-01,0.0433,0.0467,0.0234,-0.0226,0.0092,0.0037
1999-05-01,-0.0246,0.0364,0.0236,0.0076,0.0336,0.0034
1999-06-01,0.0477,0.0227,-0.034,0.0111,-0.0338,0.004
1999-07-01,-0.0349,0.0249,-0.0048,0.0045,0.0311,0.0038
1999-08-01,-0.0138,-0.0183,-0.0172,-0.002,0.0031,0.0039
1999-09-01,-0.0279,0.0257,-0.0342,-0.0077,-0.0107,0.0039
1999-10-01,0.0612,-0.0705,-0.0316,-0.0188,-0.0125,0.0039
1999-11-01,0.0337,0.0581,-0.0607,-0.0401,-0.0158,0.0036
1999-12-01,0.0772,0.0542,-0.084,-0.0753,-0.0529,0.0044
2000-01-01,-0.0474,0.0438,-0.0175,-0.0607,0.0473,0.0041
2000-02-01,0.0245,0.1808,-0.0894,-0.1848,-0.0051,0.0043
2000-03-01,0.052,-0.1489,0.0766,0.1153,-0.0105,0.0047
2000-04-01,-0.064,-0.0525,0.0741,0.0766,0.0527,0.0046
2000-05-01,-0.0442,-0.0411,0.0501,0.0436,0.0074,0.005
2000-06-01,0.0464,0.0989,-0.0822,-0.0805,-0.0307,0.004
2000-07-01,-0.0251,-0.0103,0.084,0.0628,0.0299,0.0048
2000-08-01,0.0703,-0.0094,-0.0147,-0.0317,0.0061,0.005
2000-09-01,-0.0545,0.0002,0.0728,0.0277,0.0643,0.0051
2000-10-01,-0.0276,-0.0286,0.0571,0.0944,0.0467,0.0056
2000-11-01,-0.1072,-0.0069,0.1253,0.1338,0.0851,0.0051
2000-12-01,0.0119,0.0316,0.0767,0.0235,0.0568,0.005
2001-01-01,0.0313,0.0578,-0.0533,-0.0531,-0.0655,0.0054
2001-02-01,-0.1005,0.0263,0.1258,0.0909,0.0956,0.0038
2001-03-01,-0.0726,0.0227,0.0652,0.0327,0.0394,0.0042
2001-04-01,0.0794,-0.0066,-0.048,-0.0342,-0.0395,0.0039
2001-05-01,0.0072,0.0356,0.0334,0.0017,0.0218,0.0032
2001-06-01,-0.0194,0.0663,-0.0116,0.0132,-0.0179,0.0028
2001-07-01,-0.0213,-0.0283,0.0535,0.0742,0.0301,0.003
2001-08-01,-0.0646,0.0273,0.0233,0.0394,0.065,0.0031
2001-09-01,-0.0925,-0.0574,0.0157,0.0489,0.0328,0.0028
2001-10-01,0.0246,0.0537,-0.0766,-0.0298,-0.0464,0.0022
