date;beta1;beta2;beta3;beta4;beta5;beta6;beta7;beta8;beta9;beta10
198208;0.1137;0.1139;0.108;0.1257;0.1226;0.1356;0.1142;0.1277;0.1088;0.137
198209;0.0095;0.0177;0.0344;0.0332;0.0195;0.0116;0.0228;0.0172;0.0124;-0.0068
198210;0.0726;0.1235;0.1117;0.1383;0.1169;0.1134;0.0975;0.1481;0.1584;0.1912
198211;0.0344;0.0575;0.0692;0.0447;0.0497;0.0666;0.0208;0.0528;0.0393;0.1024
198212;0.0117;-0.0056;0.0318;-0.0019;0.0213;0.0021;0.035;0.0105;0.0214;0.0016
198301;0.0529;0.0026;0.0254;0.0294;0.0223;0.0507;0.0482;0.0596;0.0654;0.1091
198302;0.014;0.0314;0.0356;0.051;0.0342;0.0356;0.0421;0.0549;0.0088;0.0244
198303;0.0204;0.0408;0.0305;0.0495;0.0618;0.027;0.0428;0.0288;0.0405;0.0154
198304;0.0457;0.0845;0.0985;0.091;0.0826;0.0498;0.0642;0.0689;0.0709;0.0742
198305;-0.0197;-0.0271;-0.027;0.0156;0.0179;0.0309;0.0252;0.0568;0.0563;0.0752
198306;-0.0128;0.0436;0.0605;0.0253;0.0316;0.0548;0.05;0.0552;0.0545;0.0414
198307;-0.0163;-0.0286;-0.0168;-0.0142;-0.0294;-0.0426;-0.0352;-0.046;-0.0492;-0.0787
198308;0.0214;-0.0043;0.0092;0.0006;0.0032;0.0226;0.0112;-0.006;-0.014;-0.0302
198309;0.0404;0.0271;0.0221;0.0354;0.0172;-0.0023;-0.0008;0.0161;0.0065;-0.0291
198310;0.0108;0.0062;-0.0005;-0.0182;-0.0443;-0.0389;-0.0521;-0.0463;-0.0735;-0.0999
198311;0.013;0.0132;0.0078;0.0338;0.0332;0.0434;0.0466;0.0548;0.0451;0.0633
198312;-0.0298;-0.026;0.0068;-0.0055;0.0031;0.0007;-0.0089;0.0176;-0.0166;-0.0182
198401;0.0104;-0.0106;-0.0231;-0.0146;0.0001;0.0251;-0.0301;0.0205;-0.0381;-0.0642
198402;-0.0341;-0.0338;-0.0367;-0.0354;-0.0333;-0.0285;-0.0616;-0.0579;-0.0336;-0.0633
198403;-0.0155;0.0032;0.0237;0.0325;0.0125;0.0202;0.0311;0.0218;0.0081;0.0017
198404;0.0033;0.0062;0.0138;0.0071;0.0108;0.0174;-0.0017;-0.0027;-0.0176;-0.0177
198405;-0.0176;-0.0504;-0.0486;-0.0562;-0.0696;-0.0454;-0.0573;-0.0697;-0.059;-0.0892
198406;0.052;0.0568;0.0096;0.0558;0.0057;0.0171;0.0228;0.0216;0.0104;0.0234
198407;0.0135;-0.0151;-0.0022;-0.0178;-0.0235;-0.0339;-0.0361;-0.0454;-0.0526;-0.0792
198408;0.0632;0.0898;0.1098;0.1249;0.1215;0.1231;0.1262;0.1301;0.1529;0.1737
198409;0.0305;0.0041;0.0119;0.0003;-0.0034;-0.0104;-0.0163;-0.018;-0.0233;-0.0316
198410;0.029;0.0213;0.0099;-0.0115;-0.0075;0.0018;-0.0193;-0.0286;-0.0011;-0.0312
198411;0.0142;0.0062;-0.0157;-0.0058;-0.0016;-0.0322;-0.0204;-0.006;-0.0323;-0.0402
198412;0.022;0.0267;0.0333;0.0233;0.0132;0.0268;0.0261;0.0115;0.0204;0.0267
198501;0.0261;0.0589;0.0879;0.092;0.0778;0.1096;0.0959;0.1037;0.1212;0.1675
198502;0.0283;0.0299;0.0076;0.021;0.0285;0.0221;0.015;0.0119;0.0141;-0.0068
198503;0.0466;0.0201;-0.0171;0.0041;-0.0199;-0.0063;-0.0149;-0.0031;-0.015;-0.0393
198504;-0.0059;-0.0018;0.001;0.0229;0.0111;-0.0118;-0.0031;-0.0133;-0.0229;-0.0442
198505;0.0685;0.0686;0.0673;0.0653;0.0436;0.0494;0.0512;0.0382;0.05;0.0366
198506;0.0368;0.0197;0.0021;0.04;0.011;-0.0007;0.0234;0.0043;0.0107;0.0133
198507;-0.0446;-0.0145;0.0102;0.0129;-0.0063;-0.0003;0.0047;0.021;0.0329;0.0148
198508;0.0135;0.0056;-0.0092;-0.0072;-0.0116;-0.0074;-0.0001;-0.0157;-0.0128;-0.029
198509;-0.0275;-0.0161;-0.0278;-0.0337;-0.0388;-0.0328;-0.0455;-0.0689;-0.0657;-0.0767
198510;0.0516;0.0514;0.0485;0.0482;0.0628;0.0363;0.046;0.0344;0.0179;0.0487
198511;0.0723;0.0735;0.0748;0.0727;0.0494;0.0716;0.0592;0.0686;0.0829;0.083
198512;0.0483;0.0462;0.061;0.0386;0.0289;0.0508;0.0267;0.0327;0.0439;0.0482
198601;0.0021;0.0285;0.0028;0.0182;0.002;0.0301;0.0006;0.0065;-0.0023;0.0208
198602;0.088;0.073;0.065;0.0806;0.0952;0.0916;0.0749;0.0666;0.0774;0.0746
198603;0.0545;0.0717;0.061;0.0519;0.0543;0.0486;0.0423;0.0582;0.0506;0.032
198604;-0.008;0.003;-0.0063;-0.0013;-0.0207;-0.011;-0.0145;-0.0252;-0.0017;-0.0154
198605;0.0448;0.0635;0.0471;0.0491;0.0598;0.0581;0.0531;0.0495;0.0552;0.0315
198606;0.0476;0.0529;0.0176;0.0042;0.002;-0.0124;-0.0074;-0.0182;0.0025;-0.02
198607;0.0022;-0.029;-0.0545;-0.0733;-0.0638;-0.0702;-0.0939;-0.0715;-0.0966;-0.0959
198608;0.05;0.0805;0.074;0.0739;0.0691;0.0729;0.0489;0.0567;0.0681;0.0474
198609;-0.0967;-0.0776;-0.0706;-0.0796;-0.081;-0.0854;-0.0875;-0.0803;-0.0737;-0.1006
198610;0.0717;0.0448;0.0285;0.0532;0.0635;0.0573;0.056;0.0562;0.0574;0.0631
198611;0.0117;0.0181;0.0181;0.0285;0.004;0.0173;0.0228;0.0115;0.0173;-0.0023
198612;-0.0307;-0.0152;-0.0272;-0.0199;-0.0337;-0.0255;-0.036;-0.0249;-0.0446;-0.0307
198701;0.0965;0.1227;0.1129;0.147;0.1287;0.1385;0.1249;0.1529;0.1354;0.1731
198702;-0.0064;0.0181;0.0432;0.0419;0.0755;0.0512;0.0796;0.0732;0.074;0.1147
198703;0.0085;0.0307;0.0362;0.0232;0.0127;0.0221;0.004;0.0148;0.0203;-0.0099
198704;-0.0346;-0.022;-0.0095;-0.0022;-0.0112;0.0024;-0.012;-0.0419;-0.0272;-0.0273
198705;0.0087;0.0115;0.0107;-0.0094;0.0108;0.0057;0.0213;-0.0027;0.0135;-0.0039
198706;0.0476;0.061;0.0454;0.0562;0.0445;0.0449;0.0503;0.0411;0.036;-0.0074
198707;0.0252;0.0308;0.0475;0.067;0.0368;0.0511;0.0528;0.0594;0.052;0.0276
198708;0.0322;0.0396;0.0279;0.0581;0.0509;0.0328;0.0205;0.0289;0.0608;0.0482
198709;-0.0257;-0.0074;-0.006;0.0005;-0.0394;-0.0225;-0.0328;-0.0117;-0.0435;-0.0523
198710;-0.1212;-0.1512;-0.2032;-0.2399;-0.2436;-0.2478;-0.2716;-0.2626;-0.2969;-0.3314
198711;-0.0655;-0.0851;-0.0668;-0.0677;-0.0709;-0.0733;-0.0705;-0.0667;-0.1047;-0.0943
198712;0.0325;0.045;0.0593;0.07;0.0803;0.0893;0.1058;0.1059;0.0964;0.1124
198801;0.0967;0.0541;0.0424;0.0402;0.0148;0.039;0.0452;0.0289;0.0412;0.0409
198802;0.0157;0.0251;0.0388;0.0575;0.0564;0.0671;0.0792;0.076;0.0802;0.0854
198803;-0.0126;-0.0246;-0.0188;-0.0201;-0.041;-0.0293;-0.005;0.0001;-0.0257;-0.0142
198804;0.0225;0.008;0.0093;-0.0016;0.0118;0.0045;0.0292;-0.0093;0.0012;0.0298
198805;0.0148;0.0164;0.0081;-0.0077;0.0064;-0.0017;0.0013;-0.0046;-0.0055;-0.0124
198806;-0.0002;0.0299;0.0464;0.0588;0.078;0.0535;0.0836;0.0594;0.0824;0.0838
198807;0.0066;0.0043;-0.0026;-0.0147;-0.022;0.0029;-0.0059;-0.0124;-0.0226;-0.028
198808;-0.0077;-0.0117;-0.0216;-0.0377;-0.0313;-0.0244;-0.0371;-0.0362;-0.0468;-0.0535
198809;0.0186;0.0299;0.0356;0.0443;0.0471;0.0497;0.0533;0.0411;0.0404;0.03
198810;0.0193;0.0308;0.0204;0.0296;0.0173;0.0093;0.0336;-0.0008;-0.018;0
198811;0.0002;-0.0139;-0.012;-0.0207;-0.0099;-0.0195;-0.0141;-0.0361;-0.0379;-0.0452
198812;0.0149;0.0126;0.0195;0.0212;0.0208;0.0208;0.0183;0.0344;0.0286;0.0429
198901;0.0255;0.0598;0.0668;0.0631;0.0863;0.0671;0.0807;0.0701;0.081;0.0632
198902;-0.0124;-0.0231;-0.0131;-0.0238;-0.0226;-0.0135;-0.0177;-0.0185;-0.0028;-0.0135
198903;0.0152;0.0321;0.0298;0.0036;0.0091;0.042;0.0225;0.0294;0.0212;0.0125
198904;0.0383;0.051;0.0567;0.0504;0.051;0.0506;0.0457;0.0554;0.04;0.0518
198905;0.0461;0.039;0.0378;0.0269;0.0413;0.0423;0.037;0.0552;0.0762;0.0586
198906;0.0186;0.0071;-0.0035;0.0015;-0.0108;-0.0144;-0.0189;-0.0119;-0.0251;-0.0399
198907;0.0531;0.0634;0.0916;0.0702;0.0861;0.0975;0.0886;0.0884;0.0919;0.0628
198908;-0.0062;0.009;0.0271;0.0181;0.032;0.0183;0.0216;0.0349;0.0243;0.0508
198909;0.0021;0.01;0.0111;-0.0149;0.0021;-0.0126;-0.0133;-0.0086;0.0038;0.0083
198910;0.0143;-0.01;-0.0147;-0.0393;-0.0357;-0.0383;-0.0611;-0.0359;-0.052;-0.0621
198911;0.03;0.0293;0.0234;0.002;0.0168;0.0169;0.0112;0.0064;0.0178;-0.0028
198912;0.0416;0.0479;0.0311;0.0016;0.0111;0.0184;0.0016;-0.0187;-0.0005;-0.0044
199001;-0.0479;-0.0679;-0.0878;-0.0636;-0.0757;-0.0679;-0.0703;-0.0637;-0.0756;-0.0961
199002;0.0084;0.0022;0.0109;0.0266;0.019;0.0104;0.0249;0.0238;0.0367;0.0458
199003;-0.0076;0.0162;0.0294;0.0308;0.0115;0.0315;0.0498;0.0216;0.0328;0.0634
199004;-0.0447;-0.0278;-0.0281;-0.0118;-0.0322;-0.0102;-0.0398;-0.0315;-0.0151;-0.0483
199005;0.0465;0.0795;0.0877;0.0979;0.099;0.0784;0.101;0.102;0.1416;0.127
199006;0.0026;-0.0143;-0.0209;0.001;-0.0091;0.0096;0.0014;-0.001;0.0155;-0.0045
199007;0.022;0.0171;0.0042;-0.0183;-0.0135;-0.0152;-0.0156;-0.0549;-0.0313;-0.0633
199008;-0.0647;-0.055;-0.0913;-0.0867;-0.0889;-0.1041;-0.1089;-0.1325;-0.128;-0.1572
199009;-0.0036;-0.016;-0.0369;-0.0329;-0.0719;-0.0926;-0.0619;-0.0985;-0.0702;-0.1455
199010;0.0527;-0.0023;-0.0036;-0.0004;-0.0168;-0.03;-0.0123;-0.0471;-0.0428;-0.0514
199011;0.0212;0.0433;0.0492;0.0695;0.0808;0.0847;0.0767;0.1086;0.1127;0.1378
199012;0.0157;0.0125;0.0254;0.0263;0.0372;0.0431;0.0444;0.0479;0.0393;0.0537
199101;-0.0099;-0.0035;0.0097;0.0552;0.0612;0.0738;0.1038;0.1052;0.0939;0.1375
199102;0.0534;0.0681;0.0616;0.0685;0.0906;0.0685;0.0972;0.0819;0.0933;0.113
199103;0.0231;0.0242;0.0333;0.0053;0.0402;0.0254;0.0264;0.0545;0.0505;0.0679
199104;0.0071;0.0057;0.0125;-0.009;-0.0035;0.0179;-0.0046;-0.0091;0.0136;0.0006
199105;-0.0022;0.0039;0.0118;0.0583;0.0514;0.0611;0.0646;0.0516;0.0712;0.0499
199106;-0.0155;-0.0262;-0.0215;-0.0396;-0.0594;-0.0408;-0.0719;-0.065;-0.0567;-0.0698
199107;0.0477;0.0291;0.0552;0.0434;0.0433;0.0324;0.0663;0.0551;0.064;0.062
199108;0.0254;0.0132;0.023;0.0281;0.0372;0.0278;0.0282;0.0287;0.056;0.0475
199109;0.0347;0.0011;-0.0062;-0.0386;-0.0106;-0.029;-0.0256;-0.0194;-0.0122;-0.0058
199110;0.0161;0.0255;0.0214;0.0111;0.0303;0.0053;0.0069;0.0066;0.003;0.0177
199111;0.0026;-0.0332;-0.0286;-0.0359;-0.0497;-0.0539;-0.0329;-0.0605;-0.0594;-0.0418
199112;0.0556;0.0819;0.0974;0.1233;0.1352;0.1537;0.1159;0.1506;0.128;0.1318
199201;-0.0356;-0.0353;-0.0304;-0.0068;-0.0048;0.0098;0.0229;0.0225;0.0792;0.0929
199202;-0.0137;-0.0073;0.004;0.0077;0.011;0.0374;0.0476;0.0477;0.0433;0.0101
199203;-0.0121;-0.0174;-0.019;-0.0126;-0.0289;-0.0235;-0.0267;-0.0069;-0.0533;-0.0505
199204;0.0361;0.0478;0.0215;0.0324;0.0213;0.0122;-0.0059;-0.0092;-0.0232;-0.0722
199205;0.0186;0.0048;0.0179;-0.0037;0.0013;0.0133;0.0166;-0.005;-0.0055;-0.0186
199206;0.0033;0.0006;-0.0264;-0.0242;-0.0231;-0.0163;-0.0235;-0.0368;-0.0284;-0.0547
199207;0.0617;0.0412;0.0446;0.0412;0.0391;0.0263;0.0418;0.0468;0.0286;0.0413
199208;-0.0021;-0.0034;-0.0143;-0.0339;-0.0231;-0.0119;-0.0463;-0.0447;-0.0475;-0.0436
199209;0.0067;0.0056;-0.0021;0.0044;0.0234;0.0316;0.0278;0.0381;0.024;0.0069
199210;-0.0051;-0.0186;0.01;0.0187;-0.0028;0.0135;0.0188;0.0451;0.0592;0.0606
199211;-0.0125;0.0146;0.0189;0.0365;0.0555;0.0616;0.0645;0.0669;0.1021;0.111
199212;0.0311;0.0011;0.0179;0.0135;0.0058;0.0206;0.0319;0.0294;0.0356;0.0276
199301;0.0295;0.0033;-0.0063;-0.0068;0.0011;0.0104;0.0232;0.0494;0.0478;0.0299
199302;0.0514;0.0435;0.0071;-0.0027;-0.015;0.0028;-0.0069;-0.0016;-0.0241;-0.045
199303;0.0229;0.0214;0.0135;0.0214;0.0285;0.0262;0.0261;0.0386;0.0378;0.04
199304;-0.0061;-0.0165;-0.0231;-0.0021;-0.0451;-0.0505;-0.0198;-0.0381;-0.0494;-0.0411
199305;0.0064;0.0097;0.0264;0.0178;0.0262;0.047;0.0486;0.0496;0.0507;0.0772
199306;0.02;0.0175;0.0039;-0.0112;-0.0017;-0.0062;0.0025;0.0077;0.0189;0.0114
199307;0.0076;0.0093;-0.0064;-0.0131;-0.0169;0.017;-0.0167;0.0015;-0.0047;0.0072
199308;0.035;0.0471;0.0302;0.033;0.038;0.0207;0.053;0.0388;0.0538;0.0492
199309;-0.0049;-0.0014;-0.0146;-0.0082;-0.018;0.0006;0.0158;0.0002;0.0342;0.0338
199310;-0.0084;0.006;0.0165;0.0379;0.0316;0.027;0.0238;0.0087;-0.0162;0.0089
199311;-0.0364;-0.0356;-0.0185;0.0151;0.0092;-0.0093;-0.0249;-0.0085;-0.0118;-0.0298
199312;0.0202;0.0027;0.0161;0.0225;0.0024;0.0278;0.0261;0.0342;0.0263;0.0192
199401;0.0062;0.021;0.0168;0.036;0.0413;0.0296;0.0413;0.0337;0.0503;0.0491
199402;-0.0436;-0.0397;-0.0245;-0.0302;-0.0066;-0.018;-0.0251;-0.0074;-0.014;-0.008
199403;-0.0292;-0.0277;-0.0359;-0.0504;-0.0465;-0.0522;-0.0491;-0.0674;-0.041;-0.0458
199404;0.0245;0.0216;0.0201;0.0155;0.0075;0.0074;-0.0224;-0.0082;0.0069;0.0122
199405;-0.0081;-0.0011;0.0294;0.0215;-0.0102;0.0229;0.019;0.0158;0.0084;0.0129
199406;-0.0235;-0.0095;-0.0161;-0.0388;-0.0116;-0.03;-0.031;-0.0342;-0.0418;-0.0421
199407;0.0291;0.0276;0.0341;0.0298;0.0401;0.0245;0.0375;0.0201;0.0416;0.0199
199408;0.0126;0.0144;0.0523;0.0708;0.0311;0.0337;0.0396;0.0592;0.0763;0.081
199409;-0.0098;-0.0153;-0.0107;-0.0074;-0.0316;-0.0383;-0.0274;-0.0207;-0.0372;-0.0265
199410;0.0268;0.0249;0.0203;0.0124;0.0124;0.0202;0.0107;0.0064;0.0294;0.0131
199411;-0.0407;-0.0315;-0.0214;-0.0277;-0.0383;-0.0464;-0.0244;-0.0431;-0.0501;-0.0453
199412;0.0071;0.0103;0.0209;0.0256;-0.0048;0.0238;0.0131;-0.0036;0.0022;0.0057
199501;0.0269;0.038;0.0177;0.0166;0.035;0.016;0.0324;0.0119;0.0235;0.0141
199502;0.0292;0.0215;0.0309;0.0397;0.0347;0.0449;0.0588;0.0536;0.0657;0.0558
199503;0.0279;0.0171;0.0274;0.0367;0.0382;0.023;0.0176;0.0371;0.0192;0.0209
199504;0.0419;0.0325;0.0276;0.0341;0.003;0.0162;0.0303;0.0133;0.0379;0.0109
199505;0.0315;0.0254;0.0367;0.0471;0.0304;0.0344;0.0367;0.0428;0.0457;0.0384
199506;0.0008;0.0033;0.0315;0.0223;0.0416;0.0234;0.0499;0.0478;0.0618;0.0733
199507;0.0392;0.0164;0.0308;0.0241;0.0378;0.0368;0.0517;0.0666;0.0499;0.0908
199508;0.0074;0.0075;0.0054;0.003;-0.0039;0.0137;0.0206;0.0123;0.0067;0.0439
199509;0.0227;0.0618;0.0447;0.0518;0.0444;0.0201;0.0358;0.0356;0.0213;0.033
199510;0.0107;0.006;-0.0022;0.0007;-0.0249;0.0028;-0.0371;-0.047;0.0064;-0.0483
199511;0.0213;0.0411;0.054;0.0599;0.0698;0.0293;0.0572;0.0361;0.0125;0.0365
199512;0.0509;0.0356;0.0222;0.019;0.0279;0.0003;0.0115;-0.0006;-0.0277;-0.018
199601;0.0232;0.0253;0.0281;0.0343;0.0223;0.0392;0.0419;0.0228;0.0118;0.0324
199602;-0.0045;-0.0131;0.0196;0.0078;0.0169;0.0286;0.0153;0.0435;0.0532;0.0396
199603;-0.009;0.0086;0.0161;-0.0002;0.0346;0.0162;0.0133;0.0276;0.0071;-0.0072
199604;0.0129;0.0107;0.0032;0.0071;0.0071;0.0349;0.0225;0.029;0.0632;0.0578
199605;0.0075;0.0113;0.033;0.0309;0.0421;0.0198;0.0299;0.0163;0.0435;0.0315
199606;0.0165;0.0188;0.0099;0.0073;0.0164;-0.0207;-0.0231;-0.0244;-0.0399;-0.0367
199607;-0.0384;-0.0371;-0.0637;-0.0422;-0.0468;-0.0472;-0.0438;-0.0708;-0.0568;-0.0827
199608;0.0395;0.0118;0.0217;0.0341;0.0373;0.0266;0.0168;0.0461;0.0422;0.0505
199609;0.0291;0.0343;0.0361;0.0461;0.0536;0.0548;0.0553;0.064;0.0703;0.1059
199610;0.03;0.0287;0.0215;0.009;0.0311;0.0248;0.0142;-0.0068;0.02;0.0105
199611;0.0718;0.0493;0.0535;0.0533;0.0665;0.0708;0.0831;0.1034;0.0793;0.0833
199612;-0.0089;0;0.0047;-0.0155;-0.0299;-0.0169;0.0027;-0.0201;-0.0284;-0.01
199701;0.0267;0.038;0.0386;0.0557;0.0447;0.0623;0.0732;0.0544;0.0677;0.1061
199702;-0.0158;0.0058;0.0048;0.0155;0.024;0.0116;0.0074;0.0088;0.0032;-0.0661
199703;-0.0311;-0.0049;-0.0383;-0.0509;-0.0341;-0.0383;-0.0587;-0.0507;-0.0784;-0.069
199704;0.0337;0.0269;0.0323;0.068;0.0562;0.0565;0.0739;0.0383;0.0706;0.025
199705;0.0674;0.0589;0.0633;0.0598;0.073;0.0525;0.0694;0.074;0.0747;0.1037
199706;0.0418;0.0394;0.0443;0.0406;0.0629;0.0481;0.0378;0.0385;0.0523;0.0164
199707;0.06;0.0901;0.0418;0.0761;0.0761;0.0797;0.061;0.0933;0.1182;0.0873
199708;-0.0069;-0.024;-0.0703;-0.0409;-0.0477;-0.0479;-0.0303;-0.0471;-0.0391;-0.007
199709;0.0418;0.0528;0.051;0.0472;0.0461;0.0683;0.0534;0.0653;0.0608;0.0873
199710;-0.0458;-0.0247;-0.0205;-0.0261;-0.0351;-0.0332;-0.0014;-0.0491;-0.0615;-0.0446
199711;0.0197;0.0229;0.0471;0.0508;0.0517;0.0552;0.0351;0.0388;0.0289;-0.0086
199712;0.0164;0.0135;0.0399;0.0109;0.0149;0.0265;0.02;0.0218;0.0203;-0.0092
199801;-0.006;-0.0157;-0.0055;0.0162;0.0023;0.0059;0.0156;0.0349;-0.0211;0.0096
199802;0.0791;0.0608;0.0641;0.0771;0.0705;0.061;0.062;0.0796;0.107;0.0753
199803;0.0691;0.062;0.0526;0.0476;0.0443;0.069;0.0801;0.0199;0.0303;0.0376
199804;0.0028;0.0191;-0.0073;0.0209;0.0037;-0.0021;0.0143;0.0018;0.0276;0.0373
199805;-0.02;-0.0022;0.0029;-0.0318;-0.0074;-0.0299;-0.0286;-0.017;-0.0413;-0.0502
199806;0.0285;0.032;0.0285;0.0576;0.02;0.0387;0.0136;0.0411;0.0342;0.0559
199807;-0.0125;-0.0472;-0.0239;-0.0141;-0.027;-0.0181;-0.0177;-0.002;-0.0057;-0.0236
199808;-0.1197;-0.115;-0.1007;-0.1199;-0.1392;-0.1509;-0.1761;-0.198;-0.2221;-0.2348
199809;0.0728;0.032;0.0717;0.069;0.0504;0.0762;0.0873;0.0706;0.0492;0.0739
199810;0.0676;0.0585;0.0729;0.0589;0.073;0.0849;0.0702;0.0934;0.0975;0.1159
199811;0.0313;0.0428;0.0574;0.0796;0.0463;0.0706;0.0315;0.0961;0.0771;0.0957
199812;0.0484;0.0308;0.0503;0.0418;0.0572;0.0565;0.0555;0.0644;0.1162;0.1586
199901;-0.0052;-0.0451;0.0074;0.0628;0.0089;0.0101;0.0029;0.0761;0.1345;0.111
199902;-0.0108;-0.0113;-0.0246;-0.0544;-0.0255;-0.0214;-0.0132;-0.0534;-0.0697;-0.0787
199903;0.0154;0.0097;-0.0041;0.0653;0.0393;0.0028;0.0394;0.0221;0.0549;0.1057
199904;0.0315;0.0563;0.0707;0.0426;0.0387;0.0186;0.0141;0.0491;0.0303;0.0563
199905;-0.0295;-0.0062;0.0016;-0.0236;-0.018;0.0063;-0.0192;-0.0392;-0.0278;-0.0041
199906;0.0401;0.0069;0.0158;0.0692;0.0535;0.0452;0.038;0.0772;0.1067;0.0743
199907;-0.0227;-0.0197;-0.0112;-0.0272;-0.0201;-0.0212;-0.0059;-0.0684;-0.0293;-0.0539
199908;0.0209;-0.0141;-0.0389;0.0217;-0.0421;0.0084;-0.0234;-0.0199;-0.0169;-0.0105
199909;-0.0492;-0.0444;0.0014;-0.02;-0.0121;-0.0526;-0.05;-0.0133;-0.0508;0.0135
199910;0.0393;0.0537;0.0268;0.0748;-0.0055;0.0842;0.0403;0.0808;0.0554;0.1062
199911;-0.0244;0.0176;0.0127;-0.024;0.0083;0.0351;0.0308;0.089;0.0667;0.0829
199912;-0.0302;-0.0593;-0.0145;0.1167;0.0573;0.0485;0.1119;0.1583;0.0983;0.1292
200001;-0.0392;0.0178;-0.0054;-0.1002;-0.0213;-0.0301;-0.0713;-0.0493;-0.0244;-0.0696
200002;-0.062;-0.1001;-0.0791;-0.0542;-0.0259;-0.0286;-0.0355;0.1149;0.141;0.1705
200003;0.0908;0.0827;0.0959;0.1057;0.1076;0.1298;0.0963;0.1014;-0.0067;0.0234
200004;0.0464;0.0276;0.0156;-0.0926;-0.0137;-0.0254;-0.037;-0.0532;-0.0387;-0.0729
200005;0.0451;0.0691;0.0157;-0.0101;-0.0426;-0.0156;-0.0226;-0.0766;-0.0852;-0.0755
200006;0.0064;-0.0006;-0.0049;0.043;0.0275;0.0163;-0.0119;0.0377;0.0881;0.0758
200007;-0.0446;-0.0346;-0.0154;-0.0126;0.0002;-0.0145;0.0236;-0.0149;-0.0339;-0.025
200008;0.0933;0.0162;0.0494;0.0626;0.0859;0.0457;0.085;0.0773;0.0803;0.111
200009;0.0559;0.053;0.0544;0.0525;-0.113;-0.0333;-0.0351;-0.066;-0.1194;-0.1308
200010;0.0024;0.0674;0.0006;0.0573;0.0198;-0.0025;-0.0247;-0.0058;-0.0574;-0.0958
200011;0.0109;0.0311;0.0007;-0.058;-0.0752;-0.067;-0.1304;-0.104;-0.1627;-0.2087
200012;0.0417;0.0433;0.0747;0.0158;-0.0157;-0.0354;0.0314;0.0612;-0.0255;0.0119
200101;-0.0793;-0.0673;-0.0444;0.004;0.0186;0.1317;0.0414;0.0592;0.0662;0.1708
200102;0.0268;-0.0107;-0.0074;-0.0187;-0.0578;-0.091;-0.1061;-0.0936;-0.1996;-0.2127
200103;-0.0292;-0.0381;-0.0349;-0.0671;-0.0744;-0.0569;-0.0566;-0.034;-0.1248;-0.1225
200104;0.0572;0.0355;0.0412;0.0424;0.1023;0.1193;0.0769;0.0852;0.0658;0.1395
200105;0.0252;0.0191;0.0092;0.0228;-0.002;0.0105;0.0121;0.0031;0.0228;0.0028
200106;-0.0322;-0.0571;-0.0255;-0.0283;0.004;-0.0003;-0.015;-0.0235;0.0142;-0.0105
200107;-0.0249;0.0268;0.0093;0.0215;0.0338;0.0254;-0.0424;-0.0032;-0.0388;-0.0765
200108;0.0117;-0.0275;-0.0248;-0.0286;-0.056;-0.0453;-0.0503;-0.0563;-0.0996;-0.1365
200109;-0.0382;-0.0111;-0.0318;-0.0376;-0.0159;-0.0518;-0.0824;-0.1669;-0.1569;-0.1861
200110;0.0077;-0.0004;-0.0155;0.0092;-0.0548;0.0085;-0.0005;0.0924;0.0604;0.1222
200111;0.0051;0.0281;0.028;0.0577;0.0375;0.0565;0.0738;0.1569;0.1365;0.1463
200112;0.0337;0.0008;0.0265;-0.0173;0.0295;0.0297;0.0214;0.0215;0.028;-0.0048
